SOURCE	TARGET	ENZYMES
C04756	C01595	3.1.1.4
C04756	C06427	3.1.1.4
lnlcACP	C01595	3.1.2.14
C02050	C06426	3.1.2.2;1.14.19.3;6.2.1.3
C02050	C01595	;3.1.1.4;1.13.11.12;1.14.14.1;6.2.1.3;3.1.2.2;3.1.2.14;1.13.11.33;1.13.11.34;1.14.19.3;1.3.99.13
C02050	C06427	3.1.1.4;3.1.2.2;1.13.11.12;6.2.1.3
C02249	C06426	3.1.2.2;6.2.1.3
C02249	C01595	3.1.2.2;6.2.1.3
C02249	C06427	1.14.19.-;3.1.2.2;6.2.1.3
C01530	C06426	3.1.2.2;6.2.1.3
C01530	C01595	3.1.2.14;3.1.2.2;6.2.1.3
C01530	C06427	3.1.2.2;6.2.1.3
C04741	C04685	4.2.1.-
C05356	arachd	1.13.11.31;1.13.11.34
C05356	C04805	1.13.11.31;1.13.11.34;1.11.1.9
C05356	C00219	;1.13.11.31;1.13.11.34;1.11.1.9
C05356	C00909	;1.13.11.31;1.13.11.34
C05356	C00051	;1.8.1.7;1.97.1.10;1.8.5.1;1.11.1.9;1.8.4.4;1.13.11.31;1.11.1.12
C05356	C00127	;1.8.1.7;1.97.1.10;1.8.5.1;1.11.1.9;1.8.4.4;1.13.11.31;1.13.11.34;1.11.1.12
C04849	CE6250	2.5.1.18
C04849	C05965	;1.11.1.9
C04849	C00051	;2.5.1.18;1.11.1.9
C04849	C04843	3.3.2.9;3.3.2.10
C04849	CE6248	;2.5.1.18;3.3.2.10;1.14.13.30;1.11.1.9;3.3.2.9
C00157	C01595	;3.1.1.4
C00157	C06427	3.1.1.4;3.1.1.32
C04317	C01595	;3.1.1.4
C04317	C06427	3.1.1.4
C03242	C06426	3.1.2.2;6.2.1.3
C03242	C01595	3.1.2.2;6.2.1.3
C03242	C06427	3.1.2.2;6.2.1.3
C00072	CE5527	
arachd	C05966	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1
C06429	C06426	3.1.2.2
C06429	C01595	3.1.2.2
C06429	C06427	3.1.2.2
CE5918	CE5528	
CE5918	C04717	
CE5918	CE5526	
lnlncacoa	C06427	6.2.1.3
C05974	C06427	3.1.1.32
C14814	C14813	1.14.14.1
C01601	C04717	
CE4990	C02165	1.14.13.30;1.1.1.184
C05965	C00219	;3.1.1.4;1.14.99.1;1.14.14.1;6.2.1.3;3.1.2.2;1.11.1.9;1.13.11.31;1.14.15.3;1.13.11.33;1.13.11.34;3.1.-
C05965	C00051	;1.13.11.31;1.11.1.9
C05965	C00127	;1.13.11.31;1.13.11.34;1.11.1.9
C05965	CE0347	1.13.11.31;1.13.11.34
C00219	C05966	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1;1.11.1.9
C00219	C06426	3.1.2.2;6.2.1.3
C00219	C01595	;3.1.1.4;1.14.14.1;6.2.1.3;3.1.2.2;1.13.11.33;1.13.11.34
C00219	C06427	3.1.1.4;3.1.2.2;6.2.1.3
C00909	C02165	;3.3.2.6
C00020	C06426	3.1.2.2;6.2.1.3
C00020	C01595	;3.1.2.2;6.2.1.3
C00020	C06427	3.1.2.2;6.2.1.3
C00350	C01595	;3.1.1.4
C00350	C06427	3.1.1.4;3.1.1.32
C00229	C01595	3.1.2.14
C14813	C05966	1.14.14.1
CE5898	CE5526	
CE5922	CE5528	
CE5922	CE5527	
C05966	C00051	1.13.11.31;1.11.1.9
C05966	C00027	1.13.11.34;1.11.1.9
C05966	C04742	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1;1.11.1.9
C05966	CE7172	1.13.11.31;1.13.11.34
C05966	C00127	1.13.11.31;1.13.11.34;1.11.1.9
C05966	C14781	1.14.14.1
C05966	CE2567	1.13.11.31;1.13.11.34
C00051	C04717	;1.11.1.9
C00051	C04685	2.5.1.18
C00051	C14827	1.11.1.9
CE5528	CE5921	
CE5528	CE6502	
CE5528	CE2061	
CE5528	CE5919	
CE5528	CE5899	
C04717	C00127	;1.11.1.9
C04717	CE2576	
C04717	CE5919	
C04717	CE2163	;1.13.11.33;1.13.11.12;1.11.1.9
C04717	C01595	;1.13.11.33;1.13.11.12
C04717	CE5526	
C06428	C06426	3.1.2.2
C06428	C01595	3.1.2.2
C06428	C06427	3.1.2.2
C04686	C00959	5.3.3.9
C04686	C04685	5.3.-.-
C00958	C01595	;3.1.1.4
C00958	C06427	3.1.1.4
C00010	C06426	3.1.2.2;6.2.1.3
C00010	C01595	;3.1.2.2;6.2.1.3
C00010	C06427	3.1.2.2;6.2.1.3
C04438	C01595	3.1.1.4
C04438	C06427	3.1.1.4
C04635	C01595	;3.1.1.4
C04635	C06427	3.1.1.4
C16321	C06427	1.13.11.12
C04517	C01595	;3.1.1.4
C04517	C06427	3.1.1.4
C05973	C06427	3.1.1.32
CE5527	C01041	
CE5527	CE5526	
C16300	C06427	1.14.19.-
C00510	C06426	3.1.2.2
C00510	C01595	;3.1.2.2
C00510	C06427	3.1.2.2
C14826	C01595	1.14.14.1
C14782	C14781	1.14.14.1
C04230	C01595	3.1.1.4
C04230	C06427	3.1.1.4
C16165	C06426	3.1.2.2
C16165	C01595	3.1.2.2
C16165	C06427	3.1.2.2
C06426	C00712	3.1.2.2
C06426	C03595	3.1.2.2;6.2.1.3
C06426	C06425	3.1.2.2;6.2.1.3
C06426	C03035	3.1.2.2;1.14.19.3;6.2.1.3
C06426	C00028	1.14.19.3
C06426	C16169	3.1.2.2
C06426	C00154	3.1.2.2;6.2.1.3
C06426	C00249	3.1.2.2;6.2.1.3
C06426	C01595	3.1.2.2;1.14.19.3;6.2.1.3
C06426	C00030	1.14.19.3
C06426	C00412	3.1.2.2;6.2.1.3
C06426	C16162	3.1.2.2;1.14.19.3
C06426	C02041	3.1.2.2
C06426	C06427	3.1.2.2;6.2.1.3
C00162	C01595	3.1.1.4;1.14.14.1
C00162	C06427	3.1.1.4;3.1.1.32
C00712	C01595	;3.1.2.14;3.1.2.2
C00712	C06427	3.1.2.2
C03595	C01595	3.1.2.2;6.2.1.3
C03595	C06427	3.1.2.2;6.2.1.3
