SOURCE	TARGET	ENZYMES
C01602	C01165	2.6.1.13
C01602	C00437	3.5.1.16
C02714	C03765	1.4.3.4
C02714	C00024	2.3.1.57
C02714	C00483	1.4.3.4
C02714	C00547	1.4.3.4
C02714	C05634	1.4.3.4
C02714	C00134	2.3.1.57
C02714	C05638	1.4.3.4
C02714	C16609	1.4.3.4
C02714	C16612	1.4.3.4
C02714	C00706	1.4.3.4
C02714	C01342	1.4.3.4
C02714	C05588	1.4.3.4
C02714	C00543	1.4.3.4
C02714	C05636	1.4.3.4
C02714	C05637	1.4.3.4
C02714	C16608	1.4.3.4
C02714	C05127	1.4.3.4
C02714	C05332	1.4.3.4
C02714	C00375	1.4.3.4
C02714	C03758	1.4.3.4
C02714	C04043	1.4.3.4
C02714	C00218	1.4.3.4
C02714	C05577	1.4.3.4
C02714	C00780	1.4.3.4
C02714	C00546	1.4.3.4
C02714	C00601	1.4.3.4
C02714	C05827	1.4.3.4
C02714	C05581	1.4.3.4
C02714	C01888	1.4.3.4
C02714	C00637	1.4.3.4
C02714	C00398	1.4.3.4
C02714	C05587	1.4.3.4
C02714	C05583	1.4.3.4
C02714	C05589	1.4.3.4
C02714	C00071	1.4.3.4
C02714	C05936	1.4.3.4
C02714	C00014	1.4.3.4
C02714	C00010	2.3.1.57
C02714	C00027	1.4.3.4
C02714	C00788	1.4.3.4
C02714	C05639	1.4.3.4
C02714	C07572	1.4.3.4
C00030	C00093	1.1.99.4;1.1.99.5;
C01225	C00093	3.1.4.44
C06427	C04230	3.1.1.4
Rtotalcoa	C00093	2.3.1.15
C00588	C00093	;3.1.4.3
C00028	C00093	1.1.99.4;1.1.99.5;
C00037	C00669	;2.3.1.1;4.4.1.1;3.4.11.1;3.4.11.2;6.3.2.3;2.3.2.4;2.8.1.7
C00037	C00430	2.3.1.37
C00041	C03740	3.5.1.14;2.3.2.2;2.3.2.4;3.4.11.1;3.4.11.2
orn-D	C01110	1.4.3.3
C00042	C01157	;1.5.1.12;1.14.11.1;6.1.1.15;1.14.11.2;3.4.11.5;1.5.1.2;5.1.1.4;2.8.3.5;1.14.11.8;1.5.99.8;1.2.1.24;1.3.5.1;1.14.11.18;1.14.11.4;1.14.11.16;6.2.1.4;6.2.1.5;1.3.99.1
C04438	C00670	3.1.1.4;3.1.1.5
C04438	C04230	3.1.1.4;3.1.1.5;2.3.1.43;2.3.1.23
C04438	C01233	3.1.1.5
C01177	C00093	;2.7.8.11;3.1.4.3
C00269	C00093	2.7.8.11;2.7.8.5
C01110	C01342	1.4.3.3
C01110	C00515	1.4.3.3
C01110	C00014	1.4.3.3
C01110	C00027	1.4.3.3
